138	sys_setfsuid	uid_t uid				
139	sys_setfsgid	gid_t gid				
140	sys_llseek	unsigned int fd	unsigned long offset_high	unsigned long offset_low	loff_t *result	unsigned int whence
141	sys_getdents	unsigned int fd	void *dirent	unsigned int count		
142	sys_select	int n	fd_set *inp	fd_set *outp	fd_set *exp	struct timeval *tvp
143	sys_flock	unsigned int fd	unsigned int cmd			
144	sys_msync	unsigned long start	size_t len	int flags		
145	sys_readv	unsigned long fd	const struct iovec *vec	unsigned long vlen		
146	sys_writev	unsigned long fd	const struct iovec *vec	unsigned long vlen		
147	sys_getsid	pid_t pid				
148	sys_fdatasync	unsigned int fd				
149	sys_sysctl	struct __sysctl_args *				
150	sys_mlock	unsigned long start	size_t len			
151	sys_munlock	unsigned long start	size_t len			
152	sys_mlockall	int flags				
153	sys_munlockall					
154	sys_sched_setparam	pid_t pid	struct sched_param *param			
155	sys_sched_getparam	pid_t pid	struct sched_param *param			
156	sys_sched_setscheduler	pid_t pid	int policy	struct sched_param *param		
157	sys_sched_getscheduler	pid_t pid				
158	sys_sched_yield					
159	sys_sched_get_priority_max	int policy				
160	sys_sched_get_priority_min	int policy				
161	sys_sched_rr_get_interval	pid_t pid	struct timespec *interval			
162	sys_nanosleep	struct timespec *rqtp	struct timespec *rmtp			
163	sys_mremap	unsigned long addr	unsigned long old_len	unsigned long new_len	unsigned long flags	
164	sys_setresuid	uid_t ruid	uid_t euid	uid_t suid		
165	sys_getresuid	uid_t *ruid	uid_t *euid	uid_t *suid		
166	sys_vm86	struct vm86_struct *				
167	sys_query_module	const char *name	int which	char *buf	size_t bufsize	size_t *ret
168	sys_poll	struct pollfd *ufds	unsigned int nfds	long timeout_msecs		
169	sys_nfsservctl	int cmd	void *argp	void *resp		
170	sys_setresgid	gid_t rgid	gid_t egid	gid_t sgid		
171	sys_getresgid	gid_t *rgid	gid_t *egid	gid_t *sgid		
172	sys_prctl	int option	unsigned long arg2	unsigned long arg3	unsigned long arg4	unsigned long arg5
173	sys_rt_sigreturn	unsigned long __unused				
174	sys_rt_sigaction	int sig	const struct sigaction *act	struct sigaction *oact	size_t sigsetsize	
175	sys_rt_sigprocmask	int how	sigset_t *nset	sigset_t *oset	size_t sigsetsize	
176	sys_rt_sigpending	sigset_t *set	size_t sigsetsize			
177	sys_rt_sigtimedwait	const sigset_t *uthese	siginfo_t *uinfo	const struct timespec *uts	size_t sigsetsize	
178	sys_rt_sigqueueinfo	int pid	int sig	siginfo_t *uinfo		
179	sys_rt_sigsuspend	sigset_t *unewset	size_t sigsetsize			
180	sys_pread	unsigned int fd	char *buf	size_t count	loff_t offset	
181	sys_pwrite	unsigned int fd	const char *but	size_t count	loff_t offset	
182	sys_chown	const char *filename	uid_t user	gid_t group		
183	sys_getcwd	char *buf	unsigned long size			
184	sys_capget	cap_user_header_t header	cap_user_data_t dataptr			
185	sys_capset	cap_user_header_t header	const cap_user_data_t data			
186	sys_sigaltstack	const stack_t *uss	stack_t *uoss			
187	sys_sendfile	int out_fd	int in_fd	off_t *offset	size_t count	
190	sys_vfork	struct pt_regs *regs				
